customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
3880-UUBLZ,8/24/2020,Organic,8/24/2023,Basic,Monthly,,,6.34,604,2,0,sarita,India,Telangana,Female,6/8/1991,,,,
3890-BAKMW,1/26/2022,Paid,1/26/2025,Premium,Monthly,,,23.39,1105,40,0,vandana,India,Karnataka,Female,4/26/1967,,,,
3923-HKEUK,7/30/2023,Organic,7/30/2024,Premium,Annual,,,20.47,1140,22,0,narendra,India,Meghalaya,Male,4/17/1964,,,,
3948-WYKSL,3/23/2020,Refferal,3/23/2022,Basic,Annual,,,9.55,890,7,0,mahesh,India,Odisha,Male,11/17/1993,,,,
3956-ZVXQZ,4/22/2020,Refferal,4/22/2023,Basic,Monthly,,,7.06,410,25,0,sushma,India,Telangana,Female,8/25/2005,,,,
3960-JLJPQ,11/28/2023,Refferal,11/28/2026,Standard,Monthly,,,12.68,325,28,0,umesh,India,Telangana,Female,8/27/1999,,,,
3990-MFGPS,12/16/2022,Refferal,12/16/2024,Standard,Monthly,2/29/2024,Too expensive,13.83,366,83,1,kalpana,India,Goa,Male,3/13/1963,2/21/2024,Y,34,2
3996-RMSJT,3/1/2022,Paid,3/1/2023,Standard,Monthly,,,16,1096,54,0,raghav,India,Kerala,Female,3/5/1968,,,,
3997-DZZNP,2/26/2021,Organic,2/26/2023,Premium,Annual,,,27.48,2034,42,0,ashok,India,Uttarakhand,Male,7/13/1960,,,,
4008-WUSXT,5/20/2021,Paid,5/20/2023,Standard,Annual,,,15.56,988,46,0,satish,India,Punjab,Female,3/14/1973,,,,
4011-QPNTV,3/25/2023,Organic,3/25/2024,Standard,Monthly,1/12/2025,Billing issues,15.91,435,95,1,umesh,India,Nagaland,Male,3/31/1995,1/3/2025,Y,18,4
4028-MMZNA,12/18/2022,Refferal,12/18/2025,Premium,Monthly,,,23.22,1360,29,0,manju,India,Chhattisgarh,Female,2/7/1980,,,,
4045-GZLNL,5/7/2020,Refferal,5/7/2021,Premium,Annual,,,26.55,2241,37,0,sapna,Nepal,Kathmandu,Female,4/28/2001,,,,
4076-QMYPM,6/17/2022,Organic,6/17/2024,Basic,Annual,,,9.94,447,8,0,harish,India,Telangana,Female,5/26/1986,4/24/2026,N,60,4
4105-MGWFE,8/20/2020,Organic,8/20/2024,Basic,Annual,,,6.83,567,1,0,pushpa,India,Assam,Male,6/17/1964,,,,
4139-TSODJ,11/20/2021,Organic,11/20/2023,Standard,Annual,,,12.82,971,32,0,Varsha,India,Punjab,Male,10/28/1984,,,,
4144-ZDLNT,5/31/2020,Organic,5/31/2022,Standard,Annual,,,14.27,1615,8,0,dilip,India,Meghalaya,Female,4/8/1969,,,,
4145-DSSQM,4/24/2022,Organic,4/24/2026,Premium,Annual,,,23.53,1727,43,0,lata,India,West Bengal,Female,10/3/1983,6/10/2026,Y,64,4
4150-SWFRO,10/7/2020,Organic,10/7/2022,Standard,Annual,,,14.03,826,10,0,seema,India,Delhi,Male,1/7/1966,11/9/2023,Y,53,1
4177-YOXUC,5/18/2023,Organic,5/18/2025,Basic,Annual,,,9.84,583,31,0,raghav,India,Kerala,Male,2/12/1991,,,,
4182-MRDLV,2/3/2021,Paid,2/3/2025,Basic,Annual,,,6.22,637,24,0,ravi,India,Rajasthan,Female,8/16/1964,,,,
4220-DXXXW,2/11/2022,Organic,2/11/2024,Basic,Annual,,,6.4,450,40,0,sunaina,India,Meghalaya,Male,3/14/2005,,,,
4226-PTUDR,8/16/2023,Organic,8/16/2024,Basic,Annual,,,8.78,411,12,0,brij,India,Meghalaya,Male,8/6/1961,,,,
4237-TLRXM,12/14/2021,Refferal,12/14/2022,Basic,Monthly,,,6.35,528,29,0,Usha,India,Jharkhand,Female,1/15/1989,,,,
4246-WDDEO,4/11/2020,Organic,4/11/2023,Standard,Monthly,,,12.58,1336,26,0,govind,India,Goa,Female,5/31/1986,,,,
4254-YPWTJ,2/6/2022,Paid,2/6/2024,Basic,Monthly,,,6.39,305,5,0,poonam,India,Odisha,Male,11/15/1962,,,,
4267-QSFJK,1/13/2023,Organic,1/13/2026,Standard,Monthly,,,12.67,578,1,0,asha,India,West Bengal,Male,7/26/1970,,,,
4278-RAVPA,4/9/2023,Paid,4/9/2025,Basic,Monthly,,,9.15,439,46,0,sushma,India,Goa,Female,5/31/1969,,,,
4279-SPLAK,1/7/2021,Refferal,1/7/2023,Premium,Monthly,8/17/2023,Relocated abroad,24.1,1647,70,1,kusum,India,Punjab,Male,5/18/1994,8/14/2023,N,4,1
4301-RSMQR,3/21/2022,Refferal,3/21/2024,Premium,Monthly,,,26.69,1890,22,0,anju,India,Meghalaya,Female,9/24/1994,,,,
4305-PDBIZ,9/5/2023,Organic,9/5/2024,Basic,Annual,5/3/2024,Moved to different city,8.49,236,91,1,gopal,India,West Bengal,Male,1/6/1982,,,,
4318-SKWRZ,8/25/2021,Organic,8/25/2025,Premium,Annual,,,20.51,1708,35,0,kamla,India,Maharashtra,Female,3/25/1977,,,,
4325-KVQMH,9/5/2020,Organic,9/5/2023,Basic,Monthly,,,7.9,447,3,0,priya,India,Odisha,Male,2/13/1983,,,,
4357-XKUCX,5/13/2021,Organic,5/13/2022,Basic,Monthly,,,8.29,595,53,0,anju,India,Telangana,Male,3/4/1999,11/1/2023,N,85,3
4360-BKTVH,1/4/2021,Organic,1/4/2024,Basic,Monthly,,,7.77,557,26,0,sapna,India,Goa,Male,9/24/1973,5/8/2022,Y,70,2
4377-QPLDB,1/5/2022,Paid,1/5/2024,Premium,Annual,5/15/2024,Too expensive,22.07,953,92,1,yash,India,Punjab,Male,2/12/1986,5/14/2024,N,20,4
4383-FQRKV,11/7/2023,Refferal,11/7/2025,Standard,Monthly,,,14.69,586,11,0,yash,India,Tamil Nadu,Female,2/16/1981,3/8/2025,Y,41,5
4430-FRNKO,6/17/2020,Paid,6/17/2024,Premium,Annual,,,24,2485,46,0,sarla,India,Uttar Pradesh,Female,3/20/1987,,,,
4431-SPMLK,4/5/2021,Organic,4/5/2023,Basic,Monthly,,,8.12,668,4,0,kamla,India,Gujarat,Female,5/20/1985,,,,
4432-ZDBMV,9/27/2021,Paid,9/27/2022,Standard,Annual,,,18.85,955,40,0,sunita,India,Punjab,Female,10/14/1959,,,,
4497-NAIAD,9/7/2021,Paid,9/7/2024,Standard,Annual,,,18.2,828,41,0,shobha,India,West Bengal,Male,6/14/1989,,,,
4503-MPFCS,7/24/2021,Paid,7/24/2025,Standard,Annual,,,13.62,1294,1,0,mina,India,Maharashtra,Male,11/20/1997,,,,
4517-TYWPB,3/16/2021,Organic,3/16/2023,Basic,Monthly,,,7.51,718,44,0,seema,India,Himachal Pradesh,Female,5/13/2007,,,,
4520-TSWYE,6/8/2023,Organic,6/8/2025,Standard,Monthly,,,14.36,741,25,0,kalpana,India,Rajasthan,Male,6/7/2007,,,,
4521-ORUWH,5/23/2022,Refferal,5/23/2024,Standard,Monthly,,,13.59,682,19,0,tarun,India,Haryana,Female,2/8/1978,11/29/2022,N,27,1
4522-YGCMI,6/15/2022,Organic,6/15/2024,Standard,Monthly,12/31/2023,Billing issues,15.11,379,94,1,dinesh,India,Uttarakhand,Female,12/9/1983,12/11/2023,N,29,4
4530-BBSVF,1/22/2020,Organic,1/22/2022,Premium,Annual,,,21.87,1964,18,0,govind,India,Punjab,Male,7/8/2006,,,,
4536-PTVQA,3/7/2023,Refferal,3/7/2024,Basic,Annual,,,8.34,495,28,0,hari,India,Bihar,Female,7/4/2001,,,,
4536-ZKQUO,5/4/2021,Refferal,5/4/2024,Premium,Monthly,,,22.77,1905,2,0,dharam,India,Manipur,Female,4/21/2000,2/25/2024,Y,55,5
4543-PSPPH,3/4/2021,Refferal,3/4/2022,Premium,Monthly,,,26.93,1852,11,0,mina,India,Kerala,Female,9/24/1998,,,,
4545-YNFSS,6/16/2023,Refferal,6/16/2027,Basic,Annual,,,8,297,16,0,hemant,India,Punjab,Male,4/25/2003,4/14/2026,N,67,5
4548-OIQTL,3/4/2021,Organic,3/4/2025,Basic,Annual,,,8.33,679,9,0,shiva,Nepal,Kathmandu,Male,12/6/1975,,,,
4551-XQUEY,6/6/2020,Refferal,6/6/2022,Standard,Monthly,,,14.46,1028,19,0,sunaina,India,Uttar Pradesh,Male,12/22/1995,,,,
4555-PYOBH,11/5/2023,Paid,11/5/2026,Premium,Annual,,,21.38,869,49,0,poonam,India,Madhya Pradesh,Female,6/29/1970,2/18/2025,N,32,2
4589-JZJVN,2/16/2023,Refferal,2/16/2026,Standard,Annual,,,13.52,560,18,0,jyoti,India,West Bengal,Male,8/7/1958,9/1/2023,N,78,4
4612-HCHKM,2/24/2020,Paid,2/24/2021,Standard,Annual,,,15.76,1012,3,0,neha,India,Delhi,Female,9/12/1963,,,,
4624-IEJSO,11/27/2023,Organic,11/27/2026,Basic,Monthly,,,8.25,280,2,0,shobha,India,Gujarat,Female,10/18/1987,,,,
4649-NJPQW,5/11/2021,Paid,5/11/2022,Standard,Annual,,,14.06,770,5,0,rangadevi,India,Rajasthan,Female,6/1/1972,,,,
4673-JBNWX,3/5/2023,Organic,3/5/2025,Premium,Monthly,,,25.96,1549,36,0,keshav,India,Manipur,Female,5/18/1965,,,,
4684-CWLIX,8/21/2021,Refferal,8/21/2023,Basic,Annual,,,9.3,703,9,0,asha,India,Tripura,Female,9/22/2001,,,,
4692-ROCNC,6/24/2022,Paid,6/24/2023,Standard,Monthly,,,17.09,640,17,0,arjun,India,Kerala,Female,1/20/1971,,,,
4693-YRLHB,7/26/2023,Organic,7/26/2024,Basic,Monthly,,,7,284,17,0,vandana,India,Punjab,Male,7/12/1970,,,,
4704-ZJLVG,4/13/2023,Organic,4/13/2025,Standard,Monthly,,,14.36,433,24,0,geeta,India,Karnataka,Male,12/18/2001,,,,
4711-TXAHX,5/29/2022,Paid,5/29/2023,Basic,Annual,,,10,784,8,0,renu,India,Odisha,Male,9/26/1995,,,,
4728-UQAHI,10/15/2022,Paid,10/15/2025,Basic,Monthly,,,6.59,296,2,0,arun,India,Nagaland,Male,3/11/1966,,,,
4733-ZHOFE,4/21/2022,Organic,4/21/2026,Standard,Annual,,,15.9,850,27,0,vandana,India,Chhattisgarh,Female,10/31/1996,10/16/2022,N,80,2
4739-NHHOI,9/16/2023,Organic,9/16/2025,Standard,Annual,,,16.78,520,30,0,hari,India,Madhya Pradesh,Female,2/28/1992,,,,
4753-TDOOR,1/31/2020,Organic,1/31/2023,Basic,Annual,,,10,966,53,0,dev,India,Maharashtra,Male,6/14/1995,,,,
4756-XEYRT,2/18/2023,Organic,2/18/2024,Standard,Monthly,,,15.69,663,10,0,ramkumar,India,Uttar Pradesh,Male,9/12/1988,,,,
4760-AELVB,6/30/2022,Organic,6/30/2024,Basic,Monthly,,,9.64,660,2,0,preeti,India,Uttarakhand,Female,5/17/1997,,,,
4794-QSAGT,8/22/2021,Paid,8/22/2022,Standard,Monthly,,,13.44,756,21,0,rekha,India,Gujarat,Male,8/4/1963,,,,
4812-BKSCR,1/3/2023,Organic,1/3/2026,Standard,Annual,,,17.96,1010,10,0,rajendra,India,Bihar,Male,7/21/1986,,,,
4814-BWGHI,4/23/2022,Paid,4/23/2023,Basic,Monthly,,,9.18,579,53,0,sushma,India,Tamil Nadu,Female,12/21/1976,,,,
4833-ZSLHQ,7/6/2021,Paid,7/6/2023,Standard,Annual,,,16.85,1063,9,0,sarla,India,Goa,Female,4/25/2005,,,,
4834-FCXSB,5/6/2021,Organic,5/6/2024,Standard,Annual,,,15.25,1387,54,0,shobha,India,Gujarat,Female,1/14/1988,,,,
4843-NKYVN,7/28/2022,Paid,7/28/2026,Standard,Annual,,,15.52,1022,27,0,vidya,Nepal,Kathmandu,Male,3/1/1967,,,,
4843-SLZSH,9/28/2021,Paid,9/28/2024,Premium,Annual,,,24.37,1984,39,0,yash,India,Himachal Pradesh,Female,8/10/2006,,,,
4852-UCCFH,12/30/2020,Paid,12/30/2024,Premium,Annual,,,22.96,2390,30,0,sarla,India,Punjab,Male,9/13/1958,12/14/2024,Y,66,5
4874-KKZMR,12/19/2021,Paid,12/19/2022,Standard,Monthly,,,18.74,1316,2,0,dharam,India,Assam,Male,9/1/1992,,,,
4892-GQPKW,3/21/2021,Paid,3/21/2024,Basic,Annual,,,7.12,533,8,0,balram,India,Manipur,Female,8/10/2003,,,,
4894-CZSGS,7/16/2021,Refferal,7/16/2023,Standard,Monthly,,,18.99,1277,11,0,madan,India,Assam,Female,9/23/1988,,,,
4906-AYOYT,1/26/2022,Paid,1/26/2024,Premium,Annual,,,26.6,1144,51,0,govind,India,Tamil Nadu,Male,11/29/1992,,,,
4920-XMDTB,11/20/2020,Paid,11/20/2022,Premium,Annual,,,27.2,2073,38,0,yogesh,India,Maharashtra,Male,6/6/1999,,,,
4923-TFBQD,1/9/2022,Refferal,1/9/2023,Basic,Monthly,,,7.47,588,29,0,kusum,India,Telangana,Male,12/19/1962,,,,
4942-PTLEU,6/27/2021,Paid,6/27/2024,Standard,Annual,,,14.33,1214,11,0,reema,India,Kerala,Male,5/19/1985,4/2/2026,Y,34,1
4966-EZJGV,1/10/2021,Organic,1/10/2022,Standard,Annual,,,18.2,1401,47,0,rekha,India,Assam,Female,7/31/2007,,,,
4977-YWDIA,6/23/2022,Refferal,6/23/2026,Basic,Annual,,,6.76,468,21,0,savita,India,Rajasthan,Female,3/17/1973,,,,
4985-NKAEA,5/2/2022,Organic,5/2/2023,Basic,Monthly,,,8,438,65,0,lalita,India,Haryana,Female,8/25/2004,,,,
4988-TXWII,1/27/2020,Paid,1/27/2023,Basic,Monthly,,,9.44,722,25,0,dilip,India,Manipur,Male,1/24/1992,,,,
4995-TFJCR,5/2/2023,Paid,5/2/2024,Basic,Monthly,,,8,370,47,0,meena,India,Goa,Female,5/1/1965,,,,
4996-PYCWH,2/19/2021,Paid,2/19/2022,Premium,Monthly,,,23.04,1416,14,0,manju,India,Goa,Female,5/18/1992,,,,
4999-NFDCI,6/24/2020,Refferal,6/24/2023,Standard,Monthly,,,17.01,1592,11,0,ramesh,India,Assam,Male,5/1/1999,6/20/2021,N,38,2
5006-TUPFM,1/7/2022,Refferal,1/7/2024,Basic,Monthly,,,8.6,360,19,0,kusum,India,Odisha,Female,1/25/1991,,,,
5012-GXRSR,8/16/2022,Paid,8/16/2026,Premium,Annual,,,24.82,964,40,0,mina,India,Tripura,Male,5/20/1980,,,,
5019-PYPII,11/2/2023,Paid,11/2/2024,Standard,Monthly,,,16.21,577,19,0,pankaj,India,Meghalaya,Male,2/12/1963,,,,
5061-IXIFB,7/29/2020,Refferal,7/29/2024,Standard,Annual,5/23/2025,Network coverage issues,13.79,1012,61,1,krishan,India,Karnataka,Female,2/11/1998,5/20/2025,Y,26,1
5064-AOAXV,8/31/2022,Paid,8/31/2023,Basic,Annual,,,8.77,609,24,0,devendra,India,Rajasthan,Male,4/19/1995,,,,
5065-IGQWJ,3/17/2020,Refferal,3/17/2024,Premium,Annual,,,23.65,2662,11,0,mohan,India,Goa,Female,2/23/1970,,,,
5074-TNMUN,3/19/2021,Paid,3/19/2023,Premium,Annual,,,24.85,1247,35,0,Anju,Nepal,Kathmandu,Male,5/28/1984,,,,
5083-FBNDP,5/1/2020,Organic,5/1/2022,Standard,Annual,,,13.6,838,49,0,ritu,India,Bihar,Female,2/11/1990,,,,
5086-HYJBK,7/18/2020,Refferal,7/18/2023,Basic,Monthly,,,6.3,391,55,0,dinesh,India,West Bengal,Female,7/8/2004,,,,
5110-WSXKH,5/25/2020,Paid,5/25/2021,Basic,Monthly,,,9.29,647,34,0,sarla,India,Gujarat,Female,12/16/1983,,,,
5117-OWVEE,6/2/2020,Organic,6/2/2022,Standard,Annual,,,15.01,1642,6,0,asha,India,Himachal Pradesh,Male,12/13/1990,,,,
5129-BFPWO,7/6/2023,Paid,7/6/2024,Basic,Monthly,,,9.49,380,20,0,manoj,India,Maharashtra,Male,9/28/1973,,,,
5149-RBWDE,7/10/2020,Organic,7/10/2024,Premium,Annual,,,25.94,1978,41,0,vikram,India,Gujarat,Female,12/17/2007,,,,
5158-NTEUL,6/11/2022,Organic,6/11/2024,Basic,Monthly,,,6,308,15,0,kusum,India,Karnataka,Female,12/12/1962,,,,
5164-JNQDO,10/6/2022,Paid,10/6/2024,Basic,Monthly,,,9.8,472,38,0,niranjan,India,Tripura,Male,7/19/1975,,,,
5170-TJUVF,9/4/2022,Refferal,9/4/2023,Standard,Monthly,,,13,873,24,0,satish,India,Bihar,Male,5/11/2004,,,,
5183-VSSGI,10/11/2022,Paid,10/11/2026,Basic,Annual,3/13/2023,Poor customer service,9,527,93,1,kiran,Nepal,Kathmandu,Female,12/11/1982,2/14/2023,N,8,4
5190-JMPVR,12/21/2021,Organic,12/21/2022,Premium,Monthly,8/4/2025,Billing issues,25.47,1258,79,1,ravi,India,Gujarat,Female,3/1/2000,7/1/2025,N,11,3
5191-REREF,12/11/2023,Organic,12/11/2024,Standard,Monthly,,,18.92,468,32,0,niranjan,India,Kerala,Female,5/15/1962,,,,
5206-LOMFF,12/17/2023,Refferal,12/17/2025,Basic,Annual,,,8.24,281,41,0,naresh,India,Gujarat,Male,5/12/1962,,,,
5242-RWIKE,8/14/2022,Refferal,8/14/2024,Standard,Monthly,,,16.67,639,45,0,hari,India,Chhattisgarh,Female,9/2/1972,,,,
5249-WIUKW,2/21/2020,Paid,2/21/2022,Basic,Monthly,,,8.97,703,32,0,tarun,India,Nagaland,Female,8/31/1991,,,,
5263-OQDPC,1/11/2020,Organic,1/11/2021,Basic,Monthly,,,9.54,963,6,0,manoj,India,Maharashtra,Male,5/25/1994,,,,
5273-BAZRZ,9/24/2021,Refferal,9/24/2023,Standard,Annual,,,13,1045,33,0,dharam,India,Bihar,Male,7/23/1990,,,,
5275-WQIWN,5/5/2023,Refferal,5/5/2024,Standard,Annual,,,15.51,651,27,0,dharam,India,Gujarat,Male,3/14/1994,7/4/2025,N,40,1
5279-LUVQP,8/17/2020,Paid,8/17/2023,Basic,Monthly,,,7,750,40,0,sanjay,India,Rajasthan,Female,11/28/1969,,,,
5283-QKQQS,9/12/2022,Refferal,9/12/2023,Standard,Monthly,,,17.61,730,35,0,tarun,India,Uttar Pradesh,Female,3/12/2004,,,,
5301-KISES,12/10/2021,Organic,12/10/2024,Premium,Monthly,,,22.84,1273,13,0,raman,Nepal,Kathmandu,Female,12/23/1990,,,,
5343-RAMTZ,1/6/2023,Paid,1/6/2025,Standard,Annual,5/14/2025,Relocated abroad,15.7,549,66,1,sanjay,India,Kerala,Male,4/4/1976,4/28/2025,N,8,3
5352-DQTNP,8/5/2020,Refferal,8/5/2023,Basic,Annual,,,8.43,739,36,0,vinod,India,Chhattisgarh,Female,2/10/1988,,,,
5354-NVKXP,7/9/2023,Organic,7/9/2024,Standard,Annual,,,14.49,555,3,0,umesh,India,Nagaland,Male,4/14/1974,,,,
5359-RJXUT,9/24/2020,Refferal,9/24/2021,Standard,Monthly,,,15.17,1666,43,0,aarti,India,Maharashtra,Female,11/1/1979,,,,
5392-BMLGA,5/20/2021,Refferal,5/20/2025,Basic,Annual,,,9.83,955,25,0,vinod,India,Chhattisgarh,Male,3/13/2004,,,,
5406-SZUFK,7/24/2022,Refferal,7/24/2025,Premium,Monthly,,,25.59,1396,2,0,ramesh,India,Himachal Pradesh,Female,2/8/1966,,,,
5422-FXNTZ,3/23/2021,Organic,3/23/2022,Standard,Annual,,,14.44,905,32,0,manisha,India,Kerala,Female,12/28/1986,,,,
5435-ZOBSP,10/31/2021,Paid,10/31/2022,Premium,Monthly,,,25.75,1115,6,0,ramkumar,India,Himachal Pradesh,Female,8/1/1986,9/19/2024,N,20,2
5446-IQTED,7/16/2023,Organic,7/16/2025,Basic,Monthly,,,6.68,267,42,0,pooja,India,Madhya Pradesh,Male,5/26/1977,,,,
5486-DKIYK,7/2/2022,Paid,7/2/2023,Standard,Annual,,,17.91,1027,42,0,suresh,India,Kerala,Male,5/20/1977,,,,
5490-GONPD,11/3/2022,Organic,11/3/2025,Standard,Monthly,8/15/2023,Payment failed repeatedly,14.15,598,75,1,arun,India,Haryana,Male,9/8/1999,8/2/2023,N,10,1
5510-FVWPV,1/20/2022,Paid,1/20/2025,Premium,Annual,10/13/2024,Poor customer service,27.34,1097,92,1,niranjan,India,Goa,Male,7/25/1985,9/25/2024,N,31,1
5513-ZSMMT,7/3/2021,Paid,7/3/2023,Premium,Annual,,,27.15,1249,5,0,asha,India,Kerala,Male,11/24/1960,,,,
5514-KRQDR,9/1/2020,Refferal,9/1/2021,Basic,Annual,,,8.62,915,54,0,ajay,India,Assam,Male,4/3/2006,,,,
5526-DZAXR,9/17/2023,Organic,9/17/2024,Premium,Annual,,,20.39,625,48,0,durga,India,West Bengal,Male,11/13/1994,,,,
5529-MWLPM,4/28/2020,Paid,4/28/2023,Standard,Monthly,,,18.08,1611,45,0,kavya,India,Manipur,Female,1/20/2000,,,,
5549-XDQXS,2/22/2022,Organic,2/22/2026,Basic,Annual,,,8.25,537,55,0,rangadevi,India,Haryana,Female,7/7/2002,,,,
5581-EDTCZ,4/10/2020,Paid,4/10/2022,Basic,Annual,,,7.82,793,53,0,gopal,India,Madhya Pradesh,Female,12/15/1966,,,,
5585-IETZZ,1/11/2021,Paid,1/11/2025,Standard,Annual,,,15,1306,1,0,hari,India,West Bengal,Male,6/15/1986,,,,
5598-AOPND,5/24/2020,Paid,5/24/2024,Basic,Annual,,,9.17,903,6,0,mira,India,Delhi,Female,11/7/1987,,,,
5602-HJBDU,7/20/2021,Paid,7/20/2023,Premium,Annual,4/2/2024,Poor streaming quality,21.77,1270,86,1,preeti,India,Nagaland,Male,6/23/2002,3/30/2024,Y,7,1
5608-AJYMY,9/15/2023,Paid,9/15/2024,Standard,Monthly,,,15,714,22,0,ramkumar,India,Maharashtra,Male,9/25/1969,,,,
5622-XLTGE,3/4/2022,Paid,3/4/2026,Basic,Annual,,,8.01,344,11,0,shiva,India,Maharashtra,Male,2/3/1973,3/9/2026,N,74,4
5643-JIAOU,10/16/2023,Refferal,10/16/2027,Standard,Annual,,,16.88,696,25,0,satish,India,Punjab,Female,2/7/2001,,,,
5647-IXCWK,7/25/2020,Paid,7/25/2023,Premium,Annual,,,27.55,2764,10,0,varsha,India,Bihar,Male,11/16/1988,3/31/2024,N,77,4
5660-ZJTGH,10/12/2023,Organic,10/12/2024,Basic,Monthly,,,7.88,247,5,0,sunita,India,Karnataka,Female,1/11/1958,,,,
5665-ZBXBM,1/31/2023,Paid,1/31/2025,Basic,Monthly,,,9.97,509,1,0,sarla,India,Maharashtra,Male,1/27/1962,,,,
5669-UFGHJ,2/24/2020,Organic,2/24/2022,Premium,Monthly,,,23.01,2603,19,0,balram,India,Odisha,Male,11/16/1999,,,,
5697-LMHJU,1/8/2021,Organic,1/8/2022,Standard,Monthly,,,13.6,973,10,0,harish,India,Uttar Pradesh,Female,4/7/1965,4/15/2025,N,57,5
5701-EXNOL,5/23/2020,Paid,5/23/2021,Standard,Annual,,,18.33,1861,15,0,pankaj,India,Nagaland,Male,9/28/1962,,,,
5725-GLYIG,10/6/2021,Paid,10/6/2022,Standard,Monthly,,,14.79,873,48,0,meena,India,Rajasthan,Male,7/27/1988,,,,
5725-NZWCX,1/25/2020,Refferal,1/25/2022,Basic,Annual,,,7.07,770,10,0,tarun,India,Jharkhand,Male,8/24/1977,,,,
5739-XQFFF,1/12/2021,Organic,1/12/2022,Standard,Annual,,,17.64,1881,39,0,meena,India,Tamil Nadu,Female,9/11/1998,,,,
5742-SAWDP,8/6/2021,Refferal,8/6/2023,Basic,Annual,,,8.71,800,61,0,satish,India,Kerala,Male,1/4/1975,,,,
5771-PCYNX,2/18/2022,Paid,2/18/2023,Basic,Annual,,,7.27,297,10,0,niranjan,India,Uttar Pradesh,Male,6/7/1971,,,,
5776-XDBLM,5/2/2020,Organic,5/2/2022,Basic,Annual,,,7.37,757,6,0,amit,India,Uttar Pradesh,Male,1/13/1976,,,,
5782-IVTRW,9/22/2022,Organic,9/22/2023,Standard,Monthly,,,14.98,822,40,0,satish,India,Uttar Pradesh,Male,8/29/2005,,,,
5801-VAQZJ,12/19/2022,Paid,12/19/2023,Basic,Annual,,,7.56,286,18,0,ritu,India,Madhya Pradesh,Male,6/2/1987,12/22/2024,Y,41,3
5811-VRYTN,5/17/2020,Refferal,5/17/2021,Premium,Monthly,,,25.47,2738,55,0,ajay,Nepal,Kathmandu,Female,7/1/1977,,,,
5822-MJNUN,7/12/2023,Paid,7/12/2026,Basic,Monthly,,,9.1,288,39,0,geeta,India,Delhi,Male,9/30/1976,,,,
5823-DQOLC,11/27/2020,Paid,11/27/2023,Standard,Monthly,,,16.88,1138,5,0,govind,India,Telangana,Male,12/13/1973,,,,
5827-MENKN,10/24/2020,Paid,10/24/2021,Premium,Annual,1/10/2023,Payment failed repeatedly,24.68,1870,81,1,deepa,India,Delhi,Male,2/21/2001,12/10/2022,Y,4,3
5837-VBLDV,5/4/2021,Paid,5/4/2022,Basic,Monthly,,,6.07,604,29,0,mina,India,Haryana,Male,7/7/1974,1/29/2025,Y,39,5
5853-DKHWV,9/29/2021,Paid,9/29/2023,Standard,Monthly,4/23/2025,Moved to different city,16.65,630,60,1,rajendra,India,Bihar,Male,4/28/1976,4/14/2025,Y,32,3
5863-WMNBS,1/7/2023,Paid,1/7/2025,Standard,Monthly,,,15.56,668,4,0,sundar,India,Himachal Pradesh,Female,3/23/1958,,,,
5881-QENMH,12/29/2020,Paid,12/29/2023,Standard,Monthly,,,13,920,22,0,seema,India,Tamil Nadu,Male,6/14/1976,,,,
5908-YCVQM,7/13/2023,Paid,7/13/2024,Premium,Annual,,,24.07,768,31,0,tejendra,India,Haryana,Female,4/23/1985,,,,
5911-AXBIO,1/6/2020,Organic,1/6/2021,Premium,Annual,,,24.49,2590,22,0,savita,India,Karnataka,Female,11/3/1977,,,,
5921-NUEUF,1/27/2023,Paid,1/27/2025,Basic,Monthly,7/9/2023,No longer needed,8.96,404,89,1,Keshav,India,Tripura,Male,7/8/1966,5/30/2023,N,8,5
5923-LCVXV,8/2/2021,Paid,8/2/2024,Basic,Monthly,,,9.81,882,6,0,bimla,India,Assam,Male,4/5/2002,,,,
5927-JJCAT,6/9/2023,Organic,6/9/2026,Basic,Monthly,,,9.57,284,8,0,sarita,India,Uttar Pradesh,Male,6/21/1961,,,,
5941-KYQJI,7/30/2021,Refferal,7/30/2024,Premium,Annual,,,21.62,1693,45,0,deepa,Nepal,Kathmandu,Male,3/4/1985,,,,
5944-EEZGP,12/11/2022,Refferal,12/11/2024,Standard,Monthly,,,15,643,13,0,dilip,India,Jharkhand,Male,8/2/1976,,,,
5956-RBDXX,3/6/2021,Paid,3/6/2023,Basic,Annual,,,8.75,800,20,0,niranjan,India,Bihar,Female,6/23/1979,,,,
5973-AATBT,11/16/2023,Paid,11/16/2026,Basic,Monthly,7/30/2024,Found better offer elsewhere,8.05,222,80,1,laxman,India,Madhya Pradesh,Male,11/21/1977,7/9/2024,N,24,3
5973-GWARN,12/6/2020,Organic,12/6/2023,Standard,Annual,,,13.06,1286,44,0,ravi,India,Odisha,Female,10/4/1984,4/2/2022,Y,74,4
5985-BXRVB,7/1/2021,Paid,7/1/2024,Standard,Monthly,,,15.82,1330,20,0,rahul,India,Goa,Male,5/28/1968,,,,
5989-FVFJW,12/22/2020,Refferal,12/22/2022,Standard,Annual,,,17.96,1736,38,0,sunaina,India,Chhattisgarh,Female,7/26/1963,,,,
5997-VIAQN,4/26/2020,Paid,4/26/2021,Standard,Annual,,,16.18,1269,44,0,ashok,India,Karnataka,Male,5/25/1980,,,,
